"","FIPS","State","Year","n","total_n","power"
"1",1,"Alabama",2010,4779736,308745538,1.54811500466122
"2",2,"Alaska",2010,710231,308745538,0.230037656447038
"3",4,"Arizona",2010,6392017,308745538,2.07031882676147
"4",5,"Arkansas",2010,2915918,308745538,0.944440531477414
"5",6,"California",2010,37253956,308745538,12.0662330025317
"6",8,"Colorado",2010,5029196,308745538,1.62891293347209
"7",9,"Connecticut",2010,3574097,308745538,1.15761899691001
"8",10,"Delaware",2010,897934,308745538,0.290833028978058
"9",11,"District of Columbia",2010,601723,308745538,0.194892857042682
"10",12,"Florida",2010,18801310,308745538,6.08958112295051
"11",13,"Georgia",2010,9687653,308745538,3.1377467226749
"12",15,"Hawaii",2010,1360301,308745538,0.44058968716173
"13",16,"Idaho",2010,1567582,308745538,0.507726203965416
"14",17,"Illinois",2010,12830632,308745538,4.15573034127541
"15",18,"Indiana",2010,6483802,308745538,2.10004719161318
"16",19,"Iowa",2010,3046355,308745538,0.986687943648922
"17",20,"Kansas",2010,2853118,308745538,0.924100156550279
"18",21,"Kentucky",2010,4339367,308745538,1.40548330774581
"19",22,"Louisiana",2010,4533372,308745538,1.46831984337859
"20",23,"Maine",2010,1328361,308745538,0.430244598385095
"21",24,"Maryland",2010,5773552,308745538,1.87000338123105
"22",25,"Massachusetts",2010,6547629,308745538,2.12072020292646
"23",26,"Michigan",2010,9883640,308745538,3.20122521090491
"24",27,"Minnesota",2010,5303925,308745538,1.71789527206058
"25",28,"Mississippi",2010,2967297,308745538,0.961081743633166
"26",29,"Missouri",2010,5988927,308745538,1.93976147438283
"27",30,"Montana",2010,989415,308745538,0.320462930868332
"28",31,"Nebraska",2010,1826341,308745538,0.591535998165583
"29",32,"Nevada",2010,2700551,308745538,0.874685029456199
"30",33,"New Hampshire",2010,1316470,308745538,0.426393206693079
"31",34,"New Jersey",2010,8791894,308745538,2.84761815731892
"32",35,"New Mexico",2010,2059179,308745538,0.66695020544718
"33",36,"New York",2010,19378102,308745538,6.27639904548191
"34",37,"North Carolina",2010,9535483,308745538,3.08846018043506
"35",38,"North Dakota",2010,672591,308745538,0.217846387143577
"36",39,"Ohio",2010,11536504,308745538,3.73657351446485
"37",40,"Oklahoma",2010,3751351,308745538,1.21503002903316
"38",41,"Oregon",2010,3831074,308745538,1.24085161677705
"39",42,"Pennsylvania",2010,12702379,308745538,4.11419030774786
"40",44,"Rhode Island",2010,1052567,308745538,0.340917315540282
"41",45,"South Carolina",2010,4625364,308745538,1.49811525373364
"42",46,"South Dakota",2010,814180,308745538,0.263705835321254
"43",47,"Tennessee",2010,6346105,308745538,2.05544832845487
"44",48,"Texas",2010,25145561,308745538,8.14442895689719
"45",49,"Utah",2010,2763885,308745538,0.895198362348479
"46",50,"Vermont",2010,625741,308745538,0.20267207877835
"47",51,"Virginia",2010,8001024,308745538,2.59146222867843
"48",53,"Washington",2010,6724540,308745538,2.17802014032669
"49",54,"West Virginia",2010,1852994,308745538,0.600168673530757
"50",55,"Wisconsin",2010,5686986,308745538,1.84196540518101
